screen_width: 1920 screen_height: 937
target_point: 2 target_x: 960 target_y: 38.4
x: 879.881287724924 y: 380.4807804132124 timestamp: 1658784238874
x: 878.6340867813517 y: 396.2275195185008 timestamp: 1658784238951
x: 870.5662265407699 y: 374.29359315310853 timestamp: 1658784239024
x: 867.2212031407582 y: 400.73516027963973 timestamp: 1658784239095
x: 853.1319570125108 y: 391.59355121608525 timestamp: 1658784239171
x: 874.7199320466784 y: 393.72793880402 timestamp: 1658784239242
x: 871.1171754697674 y: 389.82571351455675 timestamp: 1658784239313
x: 891.7545866622997 y: 384.5961732623289 timestamp: 1658784239388
x: 904.2866607132904 y: 385.8273430945185 timestamp: 1658784239473
x: 903.0418987232044 y: 387.07589851229136 timestamp: 1658784239546
x: 891.5018926964534 y: 399.2406827898829 timestamp: 1658784239622
x: 922.8725963396621 y: 400.716252880852 timestamp: 1658784239698
x: 910.8932107571907 y: 382.6472816638699 timestamp: 1658784239774
x: 930.6540790077531 y: 396.09003172556993 timestamp: 1658784239848
x: 941.0601364314554 y: 414.6389077048889 timestamp: 1658784239926
x: 942.1888879433894 y: 391.1889575791545 timestamp: 1658784240000
x: 909.9661498626116 y: 388.7731622034582 timestamp: 1658784240072
x: 893.7152287376884 y: 388.71182013175394 timestamp: 1658784240145
x: 902.6759619251612 y: 386.2192228727753 timestamp: 1658784240219
x: 898.7948505006323 y: 380.8489720675446 timestamp: 1658784240290
x: 908.143829910316 y: 384.8295244674983 timestamp: 1658784240364
x: 929.5772804401855 y: 385.56979180248686 timestamp: 1658784240437
x: 934.408096445064 y: 389.73397232434985 timestamp: 1658784240513
x: 930.5268517321938 y: 394.682318005386 timestamp: 1658784240584
x: 942.2501131119037 y: 380.32042872958806 timestamp: 1658784240657
x: 931.5109751551892 y: 369.08703536375464 timestamp: 1658784240731
x: 929.7891323562592 y: 362.59916188847825 timestamp: 1658784240803
x: 895.4141593347738 y: 361.09306089195394 timestamp: 1658784240875
x: 894.5844699093233 y: 359.16835176481044 timestamp: 1658784240950
x: 885.7081272321732 y: 365.7510442688931 timestamp: 1658784241022
x: 868.1029691243733 y: 360.4365992040823 timestamp: 1658784241093
x: 856.2522998089888 y: 382.79554703174927 timestamp: 1658784241169
x: 864.9578912916699 y: 368.0209251842526 timestamp: 1658784241242
x: 857.9900300981184 y: 388.52851352674935 timestamp: 1658784241314
x: 855.4874291372236 y: 396.64325284170997 timestamp: 1658784241390
x: 855.2462049536979 y: 389.14919273981235 timestamp: 1658784241463
x: 866.5661010203369 y: 394.7227592088802 timestamp: 1658784241535
x: 856.4917705116752 y: 417.6053814743288 timestamp: 1658784241612
x: 852.8341797086439 y: 414.56663617608444 timestamp: 1658784241684
x: 857.6512498650463 y: 402.22876252462095 timestamp: 1658784241756
x: 861.0464131839393 y: 397.5692754645603 timestamp: 1658784241830
x: 842.4223359768935 y: 391.6008867030293 timestamp: 1658784241906
x: 874.6098457668785 y: 394.5708896213598 timestamp: 1658784241980
x: 877.5274411804629 y: 384.05094777744046 timestamp: 1658784242057
x: 862.5451074653021 y: 362.5304663515893 timestamp: 1658784242128
x: 863.7329081157093 y: 398.84108057280326 timestamp: 1658784242201
x: 887.065330572321 y: 422.8840283543888 timestamp: 1658784242275
x: 906.9438795295894 y: 425.6001194624319 timestamp: 1658784242349
x: 894.4330369846028 y: 438.0745381197936 timestamp: 1658784242421
x: 884.4667865934246 y: 464.9035419091365 timestamp: 1658784242496
x: 861.5304416237435 y: 493.85775837528865 timestamp: 1658784242570
x: 860.241545654131 y: 535.5181154920233 timestamp: 1658784242643
x: 853.1575127118133 y: 537.1294332967025 timestamp: 1658784242718
x: 859.9689534010948 y: 557.8491429505797 timestamp: 1658784242791
x: 877.1011325476577 y: 577.0060514256375 timestamp: 1658784242865
x: 871.1695314573033 y: 578.4984933589678 timestamp: 1658784242941
