screen_width: 1920 screen_height: 937
target_point: 1 target_x: 38.4 target_y: 38.4
x: 580.0459953687875 y: 279.253380684533 timestamp: 1658783787542
x: 581.7271245420649 y: 248.9877957651603 timestamp: 1658783787616
x: 676.1275589765944 y: 280.6246785228103 timestamp: 1658783787694
x: 743.5000785244822 y: 297.78363355755397 timestamp: 1658783787772
x: 866.4028978111936 y: 334.40296937995885 timestamp: 1658783787846
x: 972.3666609092288 y: 340.3785706921893 timestamp: 1658783787924
x: 995.6460846829592 y: 328.0643352040157 timestamp: 1658783787999
x: 1024.3790994636615 y: 328.2034527415066 timestamp: 1658783788074
x: 1002.4159610650478 y: 319.0823305487795 timestamp: 1658783788149
x: 947.8648692070459 y: 262.8796192285563 timestamp: 1658783788229
x: 840.3298217503577 y: 232.54613406549134 timestamp: 1658783788302
x: 723.6101286409099 y: 234.85273572224648 timestamp: 1658783788378
x: 686.4122008062874 y: 231.262651067618 timestamp: 1658783788453
x: 723.644347373646 y: 287.0774554288112 timestamp: 1658783788524
x: 721.5193340397515 y: 307.18814083182355 timestamp: 1658783788600
x: 714.186899412614 y: 278.0645775611331 timestamp: 1658783788680
x: 748.7781495349834 y: 270.1092820487823 timestamp: 1658783788754
x: 744.5642580383497 y: 252.18486399397176 timestamp: 1658783788829
x: 786.6460065643648 y: 266.47428012488604 timestamp: 1658783788904
x: 820.6831960049872 y: 269.68339081637544 timestamp: 1658783788980
x: 836.0830853471995 y: 280.1704400835026 timestamp: 1658783789055
x: 879.0619498690253 y: 254.10291517170606 timestamp: 1658783789135
x: 934.8662823872463 y: 194.1531355065625 timestamp: 1658783789211
x: 886.6049110699507 y: 26.5546839733679 timestamp: 1658783789286
x: 819.3020575254271 y: 106.03560037329657 timestamp: 1658783789362
x: 790.8782028533315 y: 172.58121879146898 timestamp: 1658783789435
x: 751.2620020671254 y: 228.54213583354712 timestamp: 1658783789511
x: 646.5654505951488 y: 248.68693599481628 timestamp: 1658783789588
x: 554.3754503565419 y: 284.1995179304493 timestamp: 1658783789666
x: 506.85281078317183 y: 326.48413321848153 timestamp: 1658783789740
x: 464.1449712480556 y: 358.33092682274577 timestamp: 1658783789816
x: 399.2988517993642 y: 378.67978334121807 timestamp: 1658783789890
x: 364.66737904470534 y: 402.85199599786597 timestamp: 1658783789966
x: 329.4763018581661 y: 427.0956810713009 timestamp: 1658783790043
x: 313.0492479349101 y: 432.72062949747254 timestamp: 1658783790117
x: 424.49268691862056 y: 424.7904308857029 timestamp: 1658783790192
x: 537.1871049451562 y: 436.7272433923253 timestamp: 1658783790269
x: 630.3800783142543 y: 425.6834028666806 timestamp: 1658783790345
x: 702.2307136679356 y: 384.93143173978905 timestamp: 1658783790420
x: 768.0565021056809 y: 371.6889670201871 timestamp: 1658783790496
x: 724.4739301746915 y: 337.67239461792514 timestamp: 1658783790572
x: 721.7481066371549 y: 306.41151276473107 timestamp: 1658783790648
x: 769.4355495987242 y: 322.5608528584665 timestamp: 1658783790724
x: 849.1241781438633 y: 311.4039302004439 timestamp: 1658783790797
x: 871.7500710026881 y: 292.57132294657646 timestamp: 1658783790870
x: 927.5966574137013 y: 260.24568039735703 timestamp: 1658783790947
x: 944.5560099567921 y: 262.98907828737896 timestamp: 1658783791019
x: 906.0269116055733 y: 255.38561506272472 timestamp: 1658783791093
x: 891.2742826213707 y: 260.46375385303463 timestamp: 1658783791175
x: 913.0899478168106 y: 270.53046888557816 timestamp: 1658783791249
x: 918.4293791697093 y: 278.5748312144678 timestamp: 1658783791326
x: 1002.0387993718653 y: 315.49287521176007 timestamp: 1658783791405
x: 1042.1790061379268 y: 325.9680377118675 timestamp: 1658783791481
x: 1062.7798095332453 y: 327.9523435293074 timestamp: 1658783791558
x: 1047.6694433247335 y: 306.8950113544112 timestamp: 1658783791637
x: 1031.8898700835537 y: 293.51194277385764 timestamp: 1658783791710
x: 1013.6243702694636 y: 288.38665862102687 timestamp: 1658783791786
x: 1028.9225102460707 y: 295.4850106639066 timestamp: 1658783791861
x: 1043.7329165094252 y: 287.9049093690269 timestamp: 1658783791936
x: 953.0799146363768 y: 276.3249289510976 timestamp: 1658783792013
x: 867.1852233730251 y: 252.82125780947752 timestamp: 1658783792089
x: 740.4710796848143 y: 274.3081613138915 timestamp: 1658783792166
x: 644.5620059262899 y: 256.9102100801875 timestamp: 1658783792240
x: 655.2206890954083 y: 243.41199753602044 timestamp: 1658783792316
x: 742.8724478443828 y: 233.22464353607518 timestamp: 1658783792390
x: 814.980515322002 y: 220.76973745435336 timestamp: 1658783792464
x: 859.241141509338 y: 224.5197461923221 timestamp: 1658783792547
x: 883.8312071890438 y: 170.95612322132843 timestamp: 1658783792621
x: 920.739954067121 y: 151.18850685034153 timestamp: 1658783792694
x: 928.5183703856105 y: 110.70835600368503 timestamp: 1658783792769
x: 960.7622837449377 y: 62.158409030534116 timestamp: 1658783792841
x: 1018.8455228928184 y: 70.79647076710874 timestamp: 1658783792919
x: 912.1892459359249 y: 122.54574884896174 timestamp: 1658783793007
x: 816.8167284888567 y: 160.1617463937296 timestamp: 1658783793085
x: 834.4860741212003 y: 205.26079828305456 timestamp: 1658783793158
x: 875.038546765304 y: 255.17455262431682 timestamp: 1658783793234
x: 905.4724230980021 y: 314.68992800778864 timestamp: 1658783793308
x: 856.3340921816977 y: 352.0551100624709 timestamp: 1658783793383
x: 815.708325229217 y: 353.5759500238123 timestamp: 1658783793462
x: 848.6467036309464 y: 340.82159318990597 timestamp: 1658783793546
x: 881.6601265406771 y: 319.4305871776584 timestamp: 1658783793622
x: 845.4426910688318 y: 343.32646715052095 timestamp: 1658783793697
x: 775.14741168927 y: 319.43495578852617 timestamp: 1658783793773
x: 800.8544703991361 y: 370.87723513335425 timestamp: 1658783793848
x: 833.3987966302741 y: 354.7834522561104 timestamp: 1658783793931
x: 878.1548372175907 y: 339.9222202844644 timestamp: 1658783794006
x: 862.9906606456856 y: 350.1549612126572 timestamp: 1658783794079
x: 805.0034943566566 y: 339.7153020147416 timestamp: 1658783794154
x: 772.2058050777927 y: 330.19613165983253 timestamp: 1658783794229
x: 766.2905973728625 y: 323.0424418320745 timestamp: 1658783794305
x: 749.1188550361746 y: 293.7762536557928 timestamp: 1658783794383
x: 768.6215695925633 y: 314.42951208726015 timestamp: 1658783794457
x: 737.2387924944248 y: 370.94799331753666 timestamp: 1658783794531
x: 733.7944016575221 y: 388.6968390337692 timestamp: 1658783794609
x: 735.415123284649 y: 400.003464374041 timestamp: 1658783794683
x: 686.2637257269785 y: 415.0920370832266 timestamp: 1658783794756
x: 691.1311358692765 y: 386.7782346090112 timestamp: 1658783794831
x: 696.558254645321 y: 384.81768918281074 timestamp: 1658783794908
x: 704.4994019660788 y: 369.2764149133243 timestamp: 1658783794985
x: 718.7482723104481 y: 355.6515523570655 timestamp: 1658783795058
x: 712.9543302618945 y: 335.6062769416326 timestamp: 1658783795133
x: 720.4009770674246 y: 346.203700265551 timestamp: 1658783795210
x: 753.0222972751925 y: 356.20747380044844 timestamp: 1658783795286
x: 750.3273016256757 y: 370.6902849156138 timestamp: 1658783795363
x: 765.1865927800386 y: 364.17549486866875 timestamp: 1658783795440
x: 752.1491167962017 y: 397.4048860009805 timestamp: 1658783795519
x: 754.7091823501981 y: 383.4295195069789 timestamp: 1658783795596
x: 731.8259903568403 y: 392.6383197110133 timestamp: 1658783795670
x: 698.8164547077872 y: 405.3991955106009 timestamp: 1658783795744
x: 691.1188730328481 y: 398.299183214177 timestamp: 1658783795821
x: 673.2729241077267 y: 396.1473934803288 timestamp: 1658783795898
x: 677.9643156165515 y: 394.74362292579616 timestamp: 1658783795975
x: 668.7624619534416 y: 399.03943354129683 timestamp: 1658783796053
x: 676.318006685098 y: 408.5064952318419 timestamp: 1658783796129
x: 688.4812278738541 y: 422.3277091593528 timestamp: 1658783796205
x: 679.453125260284 y: 434.4927345496191 timestamp: 1658783796282
x: 676.9897279399638 y: 439.83727088401395 timestamp: 1658783796360
x: 678.1297314941038 y: 415.9671794211013 timestamp: 1658783796435
x: 684.9380788735378 y: 404.17705579939593 timestamp: 1658783796513
x: 669.2741245915173 y: 409.44113260597186 timestamp: 1658783796602
x: 655.5505607849325 y: 407.96403457482216 timestamp: 1658783796692
x: 668.8499185855737 y: 403.79780033007546 timestamp: 1658783796775
x: 688.5475204038867 y: 401.8247533242896 timestamp: 1658783796859
x: 696.1031480452511 y: 399.16961167917185 timestamp: 1658783796947
x: 700.035040423231 y: 386.53544411581686 timestamp: 1658783797034
x: 702.3494506840352 y: 375.395034028566 timestamp: 1658783797117
x: 718.7009501625807 y: 379.06773896129346 timestamp: 1658783797208
x: 713.4860740929538 y: 386.0508906262345 timestamp: 1658783797291
x: 716.136773704119 y: 382.8919285172739 timestamp: 1658783797375
x: 724.3300959817856 y: 381.93622604963156 timestamp: 1658783797459
x: 711.3309409663838 y: 371.3668449880745 timestamp: 1658783797547
x: 706.924743816909 y: 372.5039852558244 timestamp: 1658783797630
x: 698.8529923404319 y: 358.880722365047 timestamp: 1658783797718
x: 704.2496034564667 y: 348.8681233018824 timestamp: 1658783797809
x: 705.2731142712437 y: 357.55804080887754 timestamp: 1658783797892
x: 691.2184126488578 y: 372.8254976624784 timestamp: 1658783797978
x: 670.6112387031362 y: 385.07836335734714 timestamp: 1658783798067
x: 682.6257157411685 y: 377.44926263288227 timestamp: 1658783798150
x: 691.2794716696441 y: 391.1832925543497 timestamp: 1658783798233
x: 681.350192738529 y: 395.49322192268846 timestamp: 1658783798319
x: 665.385257721912 y: 415.1204204953218 timestamp: 1658783798406
x: 661.459955029481 y: 416.58987753963663 timestamp: 1658783798493
x: 661.200676184259 y: 417.51675395576683 timestamp: 1658783798581
x: 659.0817317148963 y: 423.54221112790117 timestamp: 1658783798666
x: 693.2674626652132 y: 411.9799164763361 timestamp: 1658783798751
x: 696.5237623936756 y: 420.5053845443201 timestamp: 1658783798834
x: 696.93213205074 y: 412.614105926072 timestamp: 1658783798921
x: 691.5022553179465 y: 409.7624703468107 timestamp: 1658783799006
x: 645.2885367544081 y: 430.74637921750707 timestamp: 1658783799090
x: 640.173678166859 y: 427.3075484174789 timestamp: 1658783799195
x: 686.2375561583016 y: 441.76129533696684 timestamp: 1658783799282
x: 661.1538109584958 y: 441.18660248107034 timestamp: 1658783799367
x: 643.2810925480456 y: 444.64941047218065 timestamp: 1658783799457
x: 624.1435103256366 y: 438.2814722848458 timestamp: 1658783799543
x: 625.9197609664077 y: 454.44432744381055 timestamp: 1658783799624
x: 645.1977176127363 y: 449.6238039667971 timestamp: 1658783799713
x: 678.4236547621324 y: 452.63945148835063 timestamp: 1658783799800
x: 658.9644451815163 y: 443.8876028765706 timestamp: 1658783799884
x: 698.8181139495858 y: 435.5994489672382 timestamp: 1658783799970
x: 713.0576722700059 y: 426.3324898573254 timestamp: 1658783800057
x: 726.5734521996327 y: 426.0769973073435 timestamp: 1658783800142
x: 722.0623313592793 y: 428.13766691636187 timestamp: 1658783800232
x: 734.5765686945466 y: 409.89694408770214 timestamp: 1658783800319
x: 725.1382886562473 y: 409.41076393765314 timestamp: 1658783800403
x: 734.3611378459858 y: 398.1380118007098 timestamp: 1658783800491
x: 701.3651685743521 y: 431.2982881376308 timestamp: 1658783800575
x: 710.9223156055639 y: 431.96421495486095 timestamp: 1658783800662
x: 697.1058921885137 y: 408.29916902089644 timestamp: 1658783800743
x: 688.6392427117169 y: 380.71336614575216 timestamp: 1658783800829
x: 699.1062115339355 y: 373.7719371118571 timestamp: 1658783800911
x: 706.6859265967454 y: 392.9175963707534 timestamp: 1658783800994
x: 713.6896619424663 y: 386.6155357819071 timestamp: 1658783801084
x: 712.741511650501 y: 364.5299433772692 timestamp: 1658783801170
x: 699.4335526966735 y: 329.6144023041796 timestamp: 1658783801254
x: 694.7713799977003 y: 328.60726841163614 timestamp: 1658783801342
x: 678.8630994700524 y: 331.003569561694 timestamp: 1658783801423
x: 685.3901098102009 y: 306.0360872613323 timestamp: 1658783801507
x: 681.9205795218868 y: 306.2965526087209 timestamp: 1658783801593
x: 657.7421624672849 y: 337.72500060980605 timestamp: 1658783801667
x: 670.9458202591194 y: 348.1036698061964 timestamp: 1658783801740
x: 664.4755894074673 y: 345.67269103940964 timestamp: 1658783801813
x: 670.2761185583448 y: 352.5518359946976 timestamp: 1658783801892
x: 675.3162904347896 y: 316.3426279973443 timestamp: 1658783801968
x: 683.2198893576067 y: 315.08961249306844 timestamp: 1658783802041
x: 713.0689517948495 y: 307.2686177086402 timestamp: 1658783802117
x: 740.2246373709834 y: 294.0606244048433 timestamp: 1658783802196
x: 756.4795185654802 y: 295.9584146330369 timestamp: 1658783802270
x: 711.2693542741649 y: 329.4181640856733 timestamp: 1658783802346
x: 656.8592816652601 y: 333.2983236727559 timestamp: 1658783802420
x: 740.2892424769424 y: 340.9571683239036 timestamp: 1658783802493
x: 866.4571272956688 y: 360.41290958395473 timestamp: 1658783802570
x: 970.3641965544731 y: 332.20873577824983 timestamp: 1658783802649
x: 1021.1298328912935 y: 325.22784743471544 timestamp: 1658783802731
x: 1061.7593023622533 y: 295.49487269774295 timestamp: 1658783802806
x: 1091.1774913540573 y: 258.5758398721324 timestamp: 1658783802883
x: 1108.4165857127516 y: 258.16921469641625 timestamp: 1658783802959
x: 982.7703903431208 y: 246.40916881483716 timestamp: 1658783803038
x: 916.0740423339802 y: 218.54945057577 timestamp: 1658783803116
x: 817.6629419978624 y: 220.50093870294805 timestamp: 1658783803192
x: 746.9870736436159 y: 206.49492749407 timestamp: 1658783803267
x: 783.1891912954388 y: 241.76293464691747 timestamp: 1658783803341
x: 826.8933768439535 y: 259.05095456305196 timestamp: 1658783803416
x: 850.0387794339108 y: 200.08199801411635 timestamp: 1658783803491
x: 868.8440822041493 y: 184.02847989917322 timestamp: 1658783803569
x: 775.6307897973742 y: 227.17016651215906 timestamp: 1658783803644
x: 695.7229833964509 y: 260.2873332511593 timestamp: 1658783803718
x: 720.8537173003781 y: 311.7207267685686 timestamp: 1658783803792
x: 741.4005495187808 y: 338.86679129767003 timestamp: 1658783803868
x: 767.440970030692 y: 385.3783417631751 timestamp: 1658783803943
x: 824.4933843122252 y: 384.9929642900856 timestamp: 1658783804016
x: 868.033681825273 y: 359.8775983849381 timestamp: 1658783804097
x: 806.9126868751771 y: 376.3429431477155 timestamp: 1658783804174
x: 813.4598483022721 y: 369.6880938425259 timestamp: 1658783804247
x: 849.6898793942142 y: 407.9019106002856 timestamp: 1658783804324
x: 897.6871153435188 y: 381.68496141570733 timestamp: 1658783804401
x: 954.0383696280121 y: 343.36546130435516 timestamp: 1658783804474
x: 959.7246856317093 y: 288.34361799955855 timestamp: 1658783804556
x: 1012.6790696337879 y: 296.8295889607884 timestamp: 1658783804632
x: 996.1159368134983 y: 268.1002767830861 timestamp: 1658783804707
x: 974.812485010678 y: 269.4754227980965 timestamp: 1658783804782
x: 898.0567431120419 y: 282.6929561339414 timestamp: 1658783804857
